Transformation,Image_ID,Level_A,Level_B,RMSE
gaussian_noise,1,1,2,0.01589016
gaussian_noise,1,2,3,0.027419576
gaussian_noise,1,3,4,0.03536199
gaussian_noise,1,4,5,0.041675024
gaussian_noise,1,5,6,0.047278684
gaussian_noise,1,6,7,0.052162863
gaussian_noise,1,7,8,0.056580856
gaussian_noise,1,8,9,0.06066451
gaussian_noise,1,9,10,0.064625196
gaussian_noise,2,1,2,0.015860558
gaussian_noise,2,2,3,0.027310256
gaussian_noise,2,3,4,0.035083078
gaussian_noise,2,4,5,0.04129613
gaussian_noise,2,5,6,0.046577044
gaussian_noise,2,6,7,0.05122576
gaussian_noise,2,7,8,0.055236246
gaussian_noise,2,8,9,0.05921468
gaussian_noise,2,9,10,0.06291626
gaussian_noise,3,1,2,0.015719282
gaussian_noise,3,2,3,0.026881067
gaussian_noise,3,3,4,0.034478888
gaussian_noise,3,4,5,0.040765878
gaussian_noise,3,5,6,0.04599045
gaussian_noise,3,6,7,0.050702743
gaussian_noise,3,7,8,0.05502645
gaussian_noise,3,8,9,0.059061423
gaussian_noise,3,9,10,0.06270585
gaussian_noise,4,1,2,0.015904566
gaussian_noise,4,2,3,0.027452288
gaussian_noise,4,3,4,0.035398867
gaussian_noise,4,4,5,0.041801345
gaussian_noise,4,5,6,0.04744383
gaussian_noise,4,6,7,0.052439265
gaussian_noise,4,7,8,0.056783196
gaussian_noise,4,8,9,0.060895115
gaussian_noise,4,9,10,0.06479187
gaussian_noise,5,1,2,0.015693804
gaussian_noise,5,2,3,0.027065277
gaussian_noise,5,3,4,0.034765292
gaussian_noise,5,4,5,0.040906712
gaussian_noise,5,5,6,0.04620121
gaussian_noise,5,6,7,0.05076089
gaussian_noise,5,7,8,0.055012252
gaussian_noise,5,8,9,0.058754943
gaussian_noise,5,9,10,0.062410906
gaussian_noise,6,1,2,0.015770273
gaussian_noise,6,2,3,0.02710194
gaussian_noise,6,3,4,0.03491967
gaussian_noise,6,4,5,0.041117974
gaussian_noise,6,5,6,0.046625722
gaussian_noise,6,6,7,0.05143388
gaussian_noise,6,7,8,0.05580961
gaussian_noise,6,8,9,0.05986117
gaussian_noise,6,9,10,0.06370855
gaussian_noise,7,1,2,0.01586731
gaussian_noise,7,2,3,0.02733818
gaussian_noise,7,3,4,0.035251092
gaussian_noise,7,4,5,0.04160878
gaussian_noise,7,5,6,0.047229607
gaussian_noise,7,6,7,0.052082747
gaussian_noise,7,7,8,0.056538027
gaussian_noise,7,8,9,0.0607311
gaussian_noise,7,9,10,0.06459302
gaussian_noise,8,1,2,0.01575562
gaussian_noise,8,2,3,0.027003944
gaussian_noise,8,3,4,0.034840573
gaussian_noise,8,4,5,0.0411796
gaussian_noise,8,5,6,0.0466229
gaussian_noise,8,6,7,0.05139221
gaussian_noise,8,7,8,0.05581759
gaussian_noise,8,8,9,0.059888203
gaussian_noise,8,9,10,0.06351896
gaussian_noise,9,1,2,0.015949031
gaussian_noise,9,2,3,0.027527373
gaussian_noise,9,3,4,0.035416346
gaussian_noise,9,4,5,0.041802924
gaussian_noise,9,5,6,0.047285736
gaussian_noise,9,6,7,0.052187044
gaussian_noise,9,7,8,0.056743946
gaussian_noise,9,8,9,0.06093658
gaussian_noise,9,9,10,0.064684026
gaussian_noise,10,1,2,0.015876675
gaussian_noise,10,2,3,0.027418371
gaussian_noise,10,3,4,0.03530431
gaussian_noise,10,4,5,0.041693278
gaussian_noise,10,5,6,0.047360748
gaussian_noise,10,6,7,0.052211657
gaussian_noise,10,7,8,0.05663393
gaussian_noise,10,8,9,0.061062306
gaussian_noise,10,9,10,0.06484419
gaussian_noise,11,1,2,0.015743842
gaussian_noise,11,2,3,0.027048392
gaussian_noise,11,3,4,0.03475369
gaussian_noise,11,4,5,0.04087387
gaussian_noise,11,5,6,0.04596236
gaussian_noise,11,6,7,0.05065914
gaussian_noise,11,7,8,0.054679736
gaussian_noise,11,8,9,0.058741584
gaussian_noise,11,9,10,0.06225083
gaussian_noise,12,1,2,0.015863802
gaussian_noise,12,2,3,0.027421292
gaussian_noise,12,3,4,0.035288595
